,序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度.1,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度.1,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度.1,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度.1,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度.1,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
315,316,2020/11/4 19:36:55,688秒,手机提交,直接访问,183.208.16.189(江苏-南京),35,0.21428571428571427,836,0.21428571428571427,253,0.17857142857142858,1367,0.17857142857142858,180,0.21428571428571427,1047,0.21428571428571427,801,0.17857142857142858,5有些积极,319,0.25,4一般,910,0.14285714285714285,4一般,56,0.21428571428571427,6比较积极,825,0.17857142857142858,5有些积极,946,0.14285714285714285,4一般,打篮球,爆粗口,每天带卫生纸纸,八卦,245,0.17857142857142858,6比较积极,128,0.21428571428571427,6比较积极,1015,0.10714285714285714,5有些积极,123,0.10714285714285714,5有些积极,1,0.14285714285714285,5有些积极,267,0.14285714285714285,5有些积极,乐于助人,邋遢,关爱他人,刻薄,女性,25,硕士研究生及以上,7
316,317,2020/11/4 19:45:54,546秒,微信,,183.92.251.23(湖北-武汉),11,0.25,1,0.25,1199,0.17857142857142858,683,0.25,684,0.25,261,0.14285714285714285,1,0.21428571428571427,2比较消极,210,0.17857142857142858,1非常消极,44,0.21428571428571427,3有些消极,61,0.21428571428571427,4一般,188,0.17857142857142858,3有些消极,19,0.21428571428571427,4一般,规划好地理行程,诉诸暴力,细致耐心体贴待人,斤斤计较小肚鸡肠,688,0.17857142857142858,1非常消极,684,0.17857142857142858,5有些积极,196,0.21428571428571427,3有些消极,19,0.21428571428571427,3有些消极,767,0.17857142857142858,6比较积极,48,0.21428571428571427,3有些消极,自信,暴躁,知性,自卑,女性,20,本科,4
317,318,2020/11/4 20:08:18,787秒,手机提交,直接访问,183.92.250.130(湖北-随州),162,0.25,283,0.25,437,0.25,986,0.21428571428571427,1088,0.21428571428571427,707,0.25,1,0.25,1非常消极,3,0.21428571428571427,1非常消极,8,0.25,1非常消极,9,0.25,7非常积极,413,0.25,7非常积极,414,0.25,5有些积极,领导一大群男人,抽烟,羞涩,作,153,0.17857142857142858,7非常积极,2,0.21428571428571427,5有些积极,16,0.17857142857142858,3有些消极,1,0.17857142857142858,3有些消极,0,0.25,7非常积极,51,0.25,6比较积极,领导力,好斗,温柔,不理性,男性,25,硕士研究生及以上,7
318,319,2020/11/4 20:10:15,584秒,手机提交,直接访问,119.103.17.118(湖北-武汉),319,0.25,1536,0.07142857142857142,363,0.25,24,0.25,593,0.25,728,0.25,59,0.25,6比较积极,5,0.25,7非常积极,17,0.21428571428571427,4一般,4,0.25,4一般,412,0.25,5有些积极,423,0.25,5有些积极,走在行车道旁边 让女生走在靠路边,抠脚,知性优雅,大喊大叫,95,0.21428571428571427,7非常积极,286,0.17857142857142858,3有些消极,28,0.21428571428571427,4一般,169,0.25,3有些消极,218,0.21428571428571427,3有些消极,1,0.25,7非常积极,谦让,脾气不好,温柔,啰嗦,女性,20,本科,7
319,320,2020/11/4 20:27:09,740秒,手机提交,直接访问,218.199.207.67(湖北-武汉),11,0.25,3,0.25,889,0.21428571428571427,113,0.21428571428571427,1039,0.21428571428571427,152,0.25,574,0.21428571428571427,6比较积极,206,0.21428571428571427,1非常消极,1,0.17857142857142858,2比较消极,49,0.21428571428571427,3有些消极,4,0.21428571428571427,4一般,0,0.21428571428571427,4一般,默默干活,家暴,无,炫富,45,0.10714285714285714,7非常积极,150,0.21428571428571427,3有些消极,143,0.17857142857142858,3有些消极,41,0.10714285714285714,7非常积极,549,0.21428571428571427,1非常消极,592,0.21428571428571427,6比较积极,有担当,不尊重女性,细腻,绿茶,女性,19,本科,5
320,321,2020/11/4 20:27:17,815秒,手机提交,直接访问,218.199.207.47(湖北-武汉),0,0.25,819,0.21428571428571427,11,0.25,84,0.25,25,0.25,146,0.25,765,0.17857142857142858,6比较积极,525,0.21428571428571427,1非常消极,2,0.17857142857142858,3有些消极,0,0.25,6比较积极,28,0.21428571428571427,6比较积极,93,0.21428571428571427,6比较积极,有责任感,不卫生,有气质,两面三刀,454,0.21428571428571427,6比较积极,445,0.21428571428571427,7非常积极,699,0.17857142857142858,4一般,947,0.14285714285714285,5有些积极,19,0.17857142857142858,4一般,969,0.14285714285714285,7非常积极,热情,小气,有风度,嘴毒,女性,19,本科,5
321,322,2020/11/4 20:59:06,443秒,手机提交,直接访问,119.103.213.164(湖北-武汉),1,0.25,5,0.21428571428571427,47,0.21428571428571427,221,0.21428571428571427,519,0.25,1084,0.21428571428571427,2,0.21428571428571427,3有些消极,519,0.21428571428571427,6比较积极,516,0.21428571428571427,7非常积极,0,0.25,6比较积极,42,0.21428571428571427,4一般,4,0.21428571428571427,4一般,学习,爆粗口,学习,多管闲事,34,0.25,6比较积极,59,0.21428571428571427,7非常积极,490,0.21428571428571427,6比较积极,1,0.25,7非常积极,44,0.25,4一般,0,0.21428571428571427,7非常积极,绅士,粗枝大叶,温柔大方,多管闲事,女性,20,本科,6
322,323,2020/11/4 21:00:05,609秒,手机提交,直接访问,218.199.207.63(湖北-武汉),23,0.25,828,0.21428571428571427,449,0.25,46,0.21428571428571427,117,0.21428571428571427,514,0.25,8,0.21428571428571427,1非常消极,53,0.21428571428571427,4一般,37,0.17857142857142858,2比较消极,24,0.21428571428571427,4一般,616,0.21428571428571427,4一般,853,0.17857142857142858,3有些消极,绅士,家暴,谦让,背后说闲话,7,0.21428571428571427,3有些消极,883,0.14285714285714285,5有些积极,242,0.17857142857142858,3有些消极,782,0.17857142857142858,5有些积极,4,0.17857142857142858,4一般,266,0.14285714285714285,3有些消极,自信,粗俗,知性大方,斤斤计较,女性,18,本科,4
323,324,2020/11/4 21:04:39,739秒,手机提交,直接访问,218.199.207.51(湖北-武汉),4,0.25,28,0.25,390,0.25,537,0.25,725,0.25,559,0.25,497,0.21428571428571427,4一般,568,0.21428571428571427,3有些消极,13,0.17857142857142858,4一般,61,0.25,5有些积极,696,0.21428571428571427,4一般,13,0.21428571428571427,4一般,打篮球,突然投篮,抬头挺胸地走路,叽叽喳喳地说话,72,0.17857142857142858,1非常消极,132,0.17857142857142858,1非常消极,7,0.14285714285714285,1非常消极,8,0.14285714285714285,6比较积极,14,0.14285714285714285,6比较积极,805,0.17857142857142858,6比较积极,帅气,不爱干净,自信阳光,盲自菲薄,女性,19,本科,5
324,325,2020/11/4 21:11:34,397秒,手机提交,直接访问,183.95.249.163(湖北-武汉),38,0.25,357,0.25,355,0.25,31,0.25,112,0.25,186,0.25,473,0.21428571428571427,1非常消极,46,0.25,1非常消极,582,0.21428571428571427,7非常积极,866,0.17857142857142858,4一般,890,0.17857142857142858,4一般,706,0.21428571428571427,4一般,绅士,仇女,知心体贴,作,361,0.25,1非常消极,766,0.17857142857142858,7非常积极,7,0.17857142857142858,2比较消极,547,0.21428571428571427,4一般,997,0.14285714285714285,4一般,100,0.21428571428571427,1非常消极,绅士风度,妈宝,认知敏感,作,女性,23,硕士研究生及以上,3
325,326,2020/11/4 21:12:30,497秒,手机提交,直接访问,27.17.220.19(湖北-武汉),0,0.25,10,0.25,311,0.25,18,0.25,570,0.25,19,0.25,318,0.25,7非常积极,923,0.14285714285714285,2比较消极,331,0.25,4一般,596,0.21428571428571427,7非常积极,840,0.17857142857142858,7非常积极,821,0.17857142857142858,5有些积极,绅士手,脏话,注意与男同伴之间的身体距离,故意挑逗、取笑她人,55,0.21428571428571427,4一般,253,0.14285714285714285,6比较积极,29,0.25,4一般,39,0.17857142857142858,4一般,813,0.17857142857142858,4一般,0,0.14285714285714285,7非常积极,有礼貌,脏话成章,善良,凶恶,女性,20,本科,5
326,327,2020/11/4 21:22:00,1045秒,微信,,183.92.251.252(湖北-武汉),0,0.25,446,0.25,5,0.21428571428571427,87,0.25,1292,0.17857142857142858,1456,0.14285714285714285,502,0.21428571428571427,1非常消极,521,0.21428571428571427,6比较积极,788,0.17857142857142858,4一般,830,0.17857142857142858,1非常消极,635,0.21428571428571427,1非常消极,884,0.17857142857142858,6比较积极,讲义气、拔刀相助的行为,打女人,爱收拾、持家的行为,骂人像疯魔一样的行为,477,0.21428571428571427,3有些消极,741,0.17857142857142858,3有些消极,917,0.14285714285714285,6比较积极,656,0.21428571428571427,6比较积极,568,0.21428571428571427,6比较积极,773,0.17857142857142858,7非常积极,英勇的,自私且不成熟的,知礼懂分寸的,矫揉造作的,女性,20,本科,3
327,328,2020/11/5 9:38:47,685秒,手机提交,直接访问,218.199.207.3(湖北-武汉),37,0.25,38,0.25,455,0.25,241,0.21428571428571427,103,0.25,33,0.21428571428571427,300,0.25,7非常积极,334,0.25,7非常积极,344,0.25,1非常消极,615,0.21428571428571427,6比较积极,385,0.25,7非常积极,636,0.21428571428571427,7非常积极,领导力强,性侵犯罪,专注科研,利用女性身份弄权,333,0.25,7非常积极,345,0.25,7非常积极,370,0.25,1非常消极,21,0.25,7非常积极,383,0.25,7非常积极,21,0.21428571428571427,6比较积极,责任心强,心理变态,独立自信,被男性操控,女性,21,本科,3
328,329,2020/11/5 10:09:23,760秒,手机提交,直接访问,183.92.249.221(湖北-武汉),352,0.25,96,0.25,118,0.25,760,0.25,716,0.25,739,0.25,2,0.17857142857142858,4一般,1,0.17857142857142858,1非常消极,757,0.17857142857142858,4一般,6,0.17857142857142858,4一般,0,0.21428571428571427,4一般,80,0.17857142857142858,4一般,键政（特指温和理性地关心政治,键政（特指蠢人,化妆（悦人悦己，比较中性,购物（特指划向消费主义的那种购物，主要是感觉比较不聪明,36,0.14285714285714285,6比较积极,195,0.14285714285714285,2比较消极,110,0.14285714285714285,2比较消极,0,0.17857142857142858,6比较积极,818,0.17857142857142858,2比较消极,936,0.14285714285714285,2比较消极,理性,自以为是,温柔,自我为中心,女性,20,本科,6
329,330,2020/11/5 10:12:50,794秒,手机提交,直接访问,223.104.20.202(湖北-武汉),1255,0.17857142857142858,1251,0.17857142857142858,891,0.21428571428571427,553,0.25,549,0.25,991,0.21428571428571427,137,0.17857142857142858,6比较积极,149,0.17857142857142858,4一般,534,0.21428571428571427,6比较积极,34,0.21428571428571427,6比较积极,887,0.17857142857142858,7非常积极,855,0.17857142857142858,5有些积极,有礼貌,粗鄙,善良,搬弄是非,506,0.21428571428571427,3有些消极,907,0.14285714285714285,4一般,58,0.17857142857142858,1非常消极,1,0.25,7非常积极,0,0.17857142857142858,5有些积极,82,0.21428571428571427,4一般,有教养,爱惹事,温柔,八婆,女性,20,本科,6
330,331,2020/11/5 10:49:00,257秒,手机提交,直接访问,113.57.237.22(湖北-武汉),1557,0.03571428571428571,1,0.25,60,0.25,21,0.25,1515,0.10714285714285714,21,0.25,3,0.25,1非常消极,1,0.21428571428571427,7非常积极,39,0.25,5有些积极,6,0.14285714285714285,4一般,39,0.17857142857142858,6比较积极,6,0.21428571428571427,7非常积极,有责任,抽烟,顾家,抽烟,46,0.17857142857142858,7非常积极,320,0.25,3有些消极,86,0.17857142857142858,4一般,3,0.25,7非常积极,63,0.25,7非常积极,32,0.25,7非常积极,幽默,大男子主义,顾家,不理性,女性,19,本科,6
331,332,2020/11/5 10:57:49,972秒,手机提交,直接访问,119.103.226.155(湖北-武汉),477,0.25,1,0.25,192,0.17857142857142858,1166,0.21428571428571427,569,0.25,29,0.25,171,0.17857142857142858,3有些消极,337,0.25,6比较积极,12,0.14285714285714285,7非常积极,0,0.21428571428571427,5有些积极,4,0.25,6比较积极,863,0.17857142857142858,2比较消极,勾肩搭背,揉肚子,撩头发,拜金,8,0.21428571428571427,6比较积极,198,0.21428571428571427,1非常消极,92,0.21428571428571427,2比较消极,12,0.17857142857142858,7非常积极,639,0.21428571428571427,7非常积极,615,0.21428571428571427,7非常积极,自信,自大,坚强,优柔寡断,女性,20,本科,6
332,333,2020/11/5 11:03:07,496秒,手机提交,直接访问,218.199.207.72(湖北-武汉),1,0.25,2,0.25,418,0.25,550,0.25,780,0.25,631,0.25,15,0.21428571428571427,6比较积极,95,0.21428571428571427,4一般,467,0.21428571428571427,4一般,20,0.17857142857142858,5有些积极,0,0.14285714285714285,6比较积极,164,0.21428571428571427,4一般,解答电子产品问题,嫖娼,做饭,攀比购物,7,0.21428571428571427,5有些积极,909,0.14285714285714285,4一般,744,0.17857142857142858,4一般,33,0.14285714285714285,4一般,0,0.14285714285714285,4一般,67,0.14285714285714285,4一般,温柔有耐心,直男癌,温柔美丽,心机绿茶,女性,19,本科,6
333,334,2020/11/5 12:37:59,596秒,手机提交,直接访问,223.244.76.89(安徽-淮南),4,0.25,136,0.25,5,0.21428571428571427,41,0.25,1277,0.17857142857142858,588,0.25,110,0.17857142857142858,3有些消极,1,0.21428571428571427,3有些消极,44,0.14285714285714285,2比较消极,54,0.25,4一般,4,0.25,5有些积极,83,0.25,6比较积极,绅士,大男子主义行为,温柔,装柔弱,2,0.10714285714285714,6比较积极,151,0.07142857142857142,4一般,223,0.21428571428571427,3有些消极,965,0.14285714285714285,6比较积极,92,0.17857142857142858,2比较消极,4,0.17857142857142858,3有些消极,勇敢,强势,温和,装逼,女性,21,本科,5
334,335,2020/11/5 13:22:36,267秒,微信,,117.136.81.191(湖北-武汉),4,0.25,28,0.25,270,0.25,218,0.25,88,0.25,36,0.21428571428571427,1,0.21428571428571427,4一般,8,0.17857142857142858,1非常消极,5,0.21428571428571427,7非常积极,4,0.21428571428571427,5有些积极,31,0.21428571428571427,4一般,52,0.25,5有些积极,运动,邋遢,开朗,斤斤计较,38,0.14285714285714285,7非常积极,0,0.10714285714285714,6比较积极,45,0.17857142857142858,7非常积极,38,0.14285714285714285,6比较积极,1,0.21428571428571427,7非常积极,91,0.10714285714285714,7非常积极,有担当,大男子主义,直爽,绿茶,女性,20,本科,6
335,336,2020/11/5 13:34:01,416秒,微信,,119.103.26.93(湖北-武汉),1,0.17857142857142858,0,0.21428571428571427,68,0.21428571428571427,19,0.17857142857142858,20,0.21428571428571427,22,0.21428571428571427,100,0.21428571428571427,1非常消极,44,0.25,1非常消极,330,0.25,1非常消极,135,0.25,4一般,49,0.25,4一般,679,0.21428571428571427,3有些消极,不吹嘘自己,家暴,努力工作,逆来顺受,35,0.25,1非常消极,540,0.21428571428571427,1非常消极,344,0.25,2比较消极,92,0.17857142857142858,1非常消极,216,0.21428571428571427,2比较消极,200,0.21428571428571427,2比较消极,男女平等,男权,理性,不自爱,女性,20,本科,4
336,337,2020/11/5 17:32:41,433秒,微信,,223.104.176.220(辽宁-大连),6,0.21428571428571427,107,0.14285714285714285,0,0.25,20,0.21428571428571427,222,0.21428571428571427,85,0.21428571428571427,575,0.21428571428571427,2比较消极,564,0.21428571428571427,2比较消极,124,0.21428571428571427,4一般,24,0.21428571428571427,5有些积极,694,0.21428571428571427,1非常消极,589,0.21428571428571427,4一般,暖心对待别人,对女朋友太吝啬,温柔善解人意,脾气暴躁,34,0.21428571428571427,6比较积极,77,0.21428571428571427,7非常积极,173,0.21428571428571427,2比较消极,3,0.21428571428571427,5有些积极,53,0.17857142857142858,7非常积极,551,0.21428571428571427,2比较消极,孝顺,吝啬,善解人意,脾气不好,女性,25,本科,5
337,338,2020/11/5 20:01:49,1146秒,微信,,223.104.91.75(广西-南宁),1424,0.10714285714285714,1532,0.07142857142857142,1393,0.14285714285714285,1001,0.21428571428571427,239,0.14285714285714285,583,0.25,727,0.17857142857142858,3有些消极,1011,0.03571428571428571,1非常消极,975,0.10714285714285714,5有些积极,70,0.21428571428571427,1非常消极,1001,0.07142857142857142,6比较积极,836,0.17857142857142858,1非常消极,mwBhkC8XkJ,B8w55YFTHB,BYtcGQxspM,Mjch8jEzex,892,0.14285714285714285,4一般,677,0.17857142857142858,2比较消极,1034,0.07142857142857142,6比较积极,112,0.21428571428571427,5有些积极,820,0.17857142857142858,2比较消极,778,0.17857142857142858,4一般,bKfWCWJdF5,ETh5FNK5bC,Kd4P3FRZGB,feRTded5S8,男性,20,本科,TbpebFb4dD
338,339,2020/11/5 23:14:00,916秒,微信,,223.75.69.166(湖北-武汉),11,0.21428571428571427,864,0.21428571428571427,1265,0.17857142857142858,1103,0.21428571428571427,1124,0.21428571428571427,1337,0.17857142857142858,1,0.21428571428571427,1非常消极,3,0.21428571428571427,2比较消极,782,0.17857142857142858,2比较消极,685,0.21428571428571427,5有些积极,165,0.21428571428571427,5有些积极,205,0.21428571428571427,2比较消极,遇到困难有靠谱的表现，能成为支柱,大男子主义，对女性不尊重,能够平衡好家庭和工作,遇事不决，哭个不停，只知道诉苦，不解决问题,926,0.14285714285714285,2比较消极,723,0.17857142857142858,4一般,246,0.17857142857142858,6比较积极,616,0.21428571428571427,5有些积极,67,0.17857142857142858,6比较积极,19,0.17857142857142858,2比较消极,讲义气,自大,耐心,过于柔弱,女性,21,本科,6
339,340,2020/11/6 9:56:22,750秒,手机提交,直接访问,171.82.162.118(湖北-武汉),0,0.25,1,0.25,96,0.21428571428571427,63,0.25,222,0.21428571428571427,794,0.25,1,0.17857142857142858,3有些消极,178,0.17857142857142858,3有些消极,894,0.14285714285714285,1非常消极,205,0.14285714285714285,4一般,4,0.17857142857142858,5有些积极,6,0.21428571428571427,4一般,有家庭责任感,家暴,对老人小孩好,家暴,12,0.21428571428571427,7非常积极,2,0.17857142857142858,6比较积极,115,0.14285714285714285,7非常积极,0,0.17857142857142858,6比较积极,6,0.14285714285714285,7非常积极,5,0.14285714285714285,4一般,有家庭责任感,没担当,独立自信,懦弱,女性,19,本科,5
340,341,2020/11/6 12:49:44,558秒,手机提交,直接访问,43.250.201.22(湖南-长沙),1194,0.17857142857142858,235,0.21428571428571427,903,0.21428571428571427,14,0.21428571428571427,112,0.17857142857142858,1276,0.17857142857142858,726,0.17857142857142858,6比较积极,781,0.17857142857142858,4一般,893,0.14285714285714285,4一般,627,0.21428571428571427,7非常积极,601,0.21428571428571427,6比较积极,602,0.21428571428571427,6比较积极,绅士，谈吐举止有修养，有风度。,粗暴，没修养，粗俗，对人不尊重,有涵养，真诚，有礼貌。温柔,刻薄，喜欢嘲弄别人,882,0.14285714285714285,6比较积极,692,0.17857142857142858,3有些消极,879,0.14285714285714285,4一般,657,0.21428571428571427,6比较积极,962,0.14285714285714285,6比较积极,634,0.21428571428571427,5有些积极,绅士，有风度,粗暴，不尊重他人,温柔，内外兼修,泼辣，没有素质,女性,22,硕士研究生及以上,5
341,342,2020/11/6 15:37:20,1088秒,微信,,14.27.30.198(广东-广州),349,0.25,880,0.21428571428571427,963,0.21428571428571427,1424,0.03571428571428571,1579,0.03571428571428571,1513,0.10714285714285714,993,0.07142857142857142,2比较消极,969,0.10714285714285714,2比较消极,998,0.07142857142857142,6比较积极,70,0.14285714285714285,7非常积极,832,0.17857142857142858,7非常积极,357,0.25,2比较消极,TGKeQZGZji,67cCNRtFfP,kchexHCXKM,BJNNBS6Tt6,508,0.21428571428571427,4一般,1002,0.10714285714285714,6比较积极,1008,0.10714285714285714,5有些积极,112,0.14285714285714285,3有些消极,1046,0.07142857142857142,7非常积极,937,0.14285714285714285,4一般,dkj33nzGXk,DCzC72nMEY,P3nrP5jbMM,4xArschPAZ,男性,34,硕士研究生及以上,bwEsrdYQjN
342,343,2020/11/6 20:31:58,762秒,微信,,223.104.247.58(浙江-绍兴),1382,0.14285714285714285,922,0.21428571428571427,325,0.25,603,0.25,546,0.25,526,0.25,10,0.25,4一般,3,0.21428571428571427,4一般,2,0.25,4一般,153,0.21428571428571427,4一般,6,0.25,5有些积极,0,0.25,7非常积极,打游戏,喝酒,化妆,蹦迪,1051,0.03571428571428571,1非常消极,117,0.03571428571428571,1非常消极,1037,0.03571428571428571,1非常消极,70,0.03571428571428571,1非常消极,1037,0.03571428571428571,1非常消极,62,0.03571428571428571,7非常积极,打麻将,打牌,化妆,打麻将,男性,25,本科,5
343,344,2020/11/8 9:42:55,355秒,手机提交,直接访问,220.113.94.146(湖北-武汉),0,0.21428571428571427,3,0.17857142857142858,1403,0.14285714285714285,54,0.21428571428571427,1138,0.21428571428571427,1007,0.21428571428571427,3,0.17857142857142858,3有些消极,10,0.14285714285714285,1非常消极,5,0.17857142857142858,7非常积极,0,0.21428571428571427,5有些积极,50,0.25,6比较积极,4,0.17857142857142858,4一般,打篮球,抽烟,照顾流浪猫,逛街,2,0.17857142857142858,7非常积极,74,0.17857142857142858,7非常积极,176,0.14285714285714285,7非常积极,1,0.21428571428571427,7非常积极,0,0.17857142857142858,7非常积极,1017,0.10714285714285714,3有些消极,宽容,吝啬,细心,任性,女性,22,硕士研究生及以上,6
344,345,2020/11/8 9:56:14,388秒,手机提交,直接访问,220.113.94.146(湖北-武汉),263,0.17857142857142858,1,0.21428571428571427,1258,0.17857142857142858,1063,0.21428571428571427,24,0.17857142857142858,1445,0.14285714285714285,14,0.21428571428571427,7非常积极,2,0.25,3有些消极,45,0.14285714285714285,5有些积极,0,0.25,5有些积极,41,0.21428571428571427,4一般,7,0.21428571428571427,3有些消极,运动,一直打游戏,化妆,一直购物,13,0.17857142857142858,7非常积极,142,0.17857142857142858,7非常积极,146,0.14285714285714285,7非常积极,1,0.17857142857142858,7非常积极,69,0.25,7非常积极,64,0.21428571428571427,7非常积极,宽容,小气,有爱心,粗鲁,男性,22,本科,5
345,346,2020/11/8 16:56:26,1087秒,微信,,14.25.150.13(广东-广州),1564,0.03571428571428571,464,0.25,1391,0.14285714285714285,704,0.14285714285714285,239,0.25,1318,0.17857142857142858,967,0.10714285714285714,3有些消极,974,0.10714285714285714,4一般,898,0.14285714285714285,4一般,70,0.25,7非常积极,987,0.10714285714285714,3有些消极,944,0.14285714285714285,5有些积极,BescbmKsmz,2GS5iSDeJB,Fc5K7SbGJ3,pCYXHD7aiH,1049,0.03571428571428571,2比较消极,1004,0.10714285714285714,5有些积极,305,0.25,2比较消极,112,0.03571428571428571,3有些消极,1048,0.07142857142857142,7非常积极,1022,0.10714285714285714,4一般,a2bZQshDYZ,pyCswN2cer,CDSXRRFfDp,WbXjJhMfTz,男性,29,初中,irwh6ANCsp
346,347,2020/11/9 14:45:24,1086秒,微信,,14.28.151.241(广东-深圳),908,0.21428571428571427,1483,0.10714285714285714,1504,0.07142857142857142,1545,0.07142857142857142,1546,0.07142857142857142,1553,0.07142857142857142,557,0.21428571428571427,6比较积极,971,0.10714285714285714,1非常消极,896,0.14285714285714285,1非常消极,70,0.07142857142857142,4一般,1003,0.07142857142857142,2比较消极,362,0.25,4一般,cpXEDsSHbF,FDeJGPRGc6,sbc5nzwYx3,Fy4Mt5QPc6,686,0.17857142857142858,4一般,484,0.21428571428571427,6比较积极,1005,0.10714285714285714,1非常消极,112,0.25,4一般,1062,0.03571428571428571,7非常积极,621,0.21428571428571427,3有些消极,cKsdBr62XC,WYXj4WArM3,YQshWRkZZK,fJwQ3zEs2G,男性,38,硕士研究生及以上,aYJxRM4Epb
347,348,2020/11/9 15:44:18,541秒,手机提交,直接访问,113.57.237.22(湖北-武汉),0,0.25,137,0.25,142,0.25,502,0.25,566,0.25,749,0.25,1,0.14285714285714285,1非常消极,3,0.14285714285714285,1非常消极,182,0.14285714285714285,7非常积极,0,0.25,7非常积极,418,0.25,1非常消极,182,0.25,7非常积极,认真工作,抽烟,认真工作,私下指责,29,0.25,7非常积极,339,0.25,1非常消极,11,0.25,7非常积极,404,0.25,7非常积极,261,0.17857142857142858,1非常消极,606,0.21428571428571427,4一般,阳刚,容易冲动,阴柔,小心眼,男性,19,本科,1
348,349,2020/11/10 12:39:49,375秒,手机提交,直接访问,218.199.207.39(湖北-武汉),0,0.21428571428571427,30,0.21428571428571427,842,0.21428571428571427,242,0.17857142857142858,1370,0.17857142857142858,973,0.14285714285714285,2,0.21428571428571427,5有些积极,1,0.14285714285714285,3有些消极,3,0.14285714285714285,3有些消极,0,0.21428571428571427,6比较积极,26,0.21428571428571427,7非常积极,4,0.17857142857142858,5有些积极,打篮球,抽烟,运动,过度消费,873,0.14285714285714285,3有些消极,914,0.14285714285714285,3有些消极,285,0.14285714285714285,4一般,3,0.14285714285714285,5有些积极,967,0.14285714285714285,4一般,935,0.14285714285714285,4一般,打篮球,抽烟,运动,过度消费,女性,19,本科,2
349,350,2020/11/10 12:40:11,385秒,微信,,183.70.122.111(重庆-重庆),93,0.21428571428571427,410,0.25,57,0.25,40,0.25,50,0.25,562,0.25,110,0.14285714285714285,2比较消极,68,0.21428571428571427,6比较积极,179,0.21428571428571427,7非常积极,0,0.25,6比较积极,656,0.21428571428571427,5有些积极,88,0.25,5有些积极,温柔,家暴,美丽,不自爱,172,0.25,5有些积极,99,0.17857142857142858,5有些积极,357,0.25,4一般,5,0.17857142857142858,7非常积极,6,0.17857142857142858,7非常积极,1,0.17857142857142858,7非常积极,长得帅,过于自恋,长得好看,邋遢,女性,22,硕士研究生及以上,4
