序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1（1）典型男性姓名1：,（2）我认为该姓名1代表男性的典型程度:,2（1）典型男性姓名2：,（2）我认为该姓名2代表男性的典型程度:,3（1）典型男性姓名3：,（2）我认为该姓名3代表男性的典型程度:,"（二）请写出三个典型女性姓名，并评价每个姓名的典型性程度。
4（1）典型女性姓名1：",（2）我认为该姓名1代表女性的典型程度:,5（1）典型女性姓名2：,（2）我认为该姓名2代表女性的典型程度:,6（1）典型女性姓名3：,（2）我认为该姓名3代表女性的典型程度:,1（1）典型男性行为1：,（2）我认为该行为1代表男性的典型程度:,（3）我认为该行为1的积极程度,2（1）典型男性行为2：,（2）我认为该行为2代表男性的典型程度:,（3）我认为该行为2的积极程度,3（1）典型男性行为3：,（2）我认为该行为3代表男性的典型程度:,（3）我认为该行为3的积极程度,"（二）请写出三个典型女性行为，并评价每个行为的典型性程度和积极程度。
4（1）典型女性行为1：",（2）我认为该行为1代表女性的典型程度:,（3）我认为该行为1的积极程度,5（1）典型女性行为2：,（2）我认为该行为2代表女性的典型程度:,（3）我认为该行为2的积极程度,6（1）典型女性行为3：,（2）我认为该行为3代表女性的典型程度:,（3）我认为该行为3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性行为。
1. 我认为最受欢迎的典型男性行为是",2. 我认为最不能容忍的典型男性行为是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性行为。
1. 我认为最受欢迎的典型女性行为是",2. 我认为最不能容忍的典型女性行为是,1（1）典型男性特质1：,（2）我认为该特质1代表男性的典型程度:,（3）我认为该特质1的积极程度,2（1）典型男性特质2：,（2）我认为该特质2代表男性的典型程度:,（3）我认为该特质2的积极程度,3（1）典型男性特质3：,（2）我认为该特质3代表男性的典型程度:,（3）我认为该特质3的积极程度,"（二）请写出三个典型女性特质，并评价每个特质的典型性程度和积极程度。
4（1）典型女性特质1：",（2）我认为该特质1代表女性的典型程度:,（3）我认为该特质1的积极程度,5（1）典型女性特质2：,（2）我认为该特质2代表女性的典型程度:,（3）我认为该特质2的积极程度,6（1）典型女性特质3：,（2）我认为该特质3代表女性的典型程度:,（3）我认为该特质3的积极程度,"（三）请写出你认为最受欢迎和最不能容忍的典型男性特质。
1. 我认为最受欢迎的典型男性特质是",2. 我认为最不能容忍的典型男性特质是,"（四）请写出你认为最受欢迎和最不能容忍的典型女性特质。
1. 我认为最受欢迎的典型女性特质是",2. 我认为最不能容忍的典型女性特质是,1. 我的性别,2. 我的年龄,3. 我的受教育水平,4. 我觉得自己在社会中的阶层等级：（1表示最底层，10表示最高层，请打分）
239,2020/10/30 16:51:58,758秒,手机提交,直接访问,117.136.52.229(湖北-武汉),张杰,7非常典型,刘鹤,6比较典型,庄毅,7非常典型,高妍,6比较典型,张于馨,7非常典型,何艳,6比较典型,秀腹肌,7非常典型,4一般,通宵打游戏,6比较典型,1非常消极,睡懒觉,5有些典型,2比较消极,逛街购物,7非常典型,5有些积极,喝奶茶,5有些典型,5有些积极,搞小团体,6比较典型,1非常消极,关心身边的人,抽烟,善解人意,装绿茶,好色,6比较典型,3有些消极,外表纯洁实则闷骚,5有些典型,2比较消极,占有欲强,6比较典型,2比较消极,好奇心重,5有些典型,3有些消极,有时心情不定,5有些典型,3有些消极,好耍脾气,6比较典型,4一般,心地纯洁,闷骚,耍小脾气,无理取闹,男性,18,本科,5
240,2020/10/30 16:51:59,711秒,手机提交,直接访问,218.197.142.14(湖北-武汉),高伟岸,6比较典型,张伟,7非常典型,孔大山,7非常典型,薇尔莉特,7非常典型,卢惠,6比较典型,林黛玉,7非常典型,打游戏,4一般,4一般,花心,6比较典型,7非常积极,拍屁股打招呼,6比较典型,7非常积极,撩头发,5有些典型,7非常积极,化妆,6比较典型,7非常积极,逛街,7非常典型,7非常积极,嘘寒问暖,过于颓废,自立自强,脚踏两只船,粗犷,7非常典型,5有些积极,有责任,4一般,7非常积极,不注意卫生,5有些典型,2比较消极,文弱,5有些典型,4一般,内向,4一般,4一般,温柔,5有些典型,7非常积极,积极体贴,颓废,体贴,颓废，女拳,男性,19,本科,1
241,2020/10/30 16:51:59,709秒,手机提交,直接访问,119.103.164.26(湖北-武汉),张帅,6比较典型,刘昊然,6比较典型,张智博,7非常典型,刘欣怡,5有些典型,刘佳佳,7非常典型,刘娜,5有些典型,犟,7非常典型,2比较消极,大男子主义,7非常典型,2比较消极,易怒,6比较典型,2比较消极,爱美 爱打扮,7非常典型,7非常积极,爱乱想,6比较典型,4一般,花痴,7非常典型,6比较积极,文明有理  表里如一,出口成脏 表里不一,温柔 善解人意,胡搅蛮缠,懒,7非常典型,1非常消极,性格开朗,5有些典型,7非常积极,心胸开阔,5有些典型,6比较积极,温柔,6比较典型,6比较积极,心思细腻,6比较典型,5有些积极,在意别人看法,6比较典型,3有些消极,开朗 心胸开阔,心胸狭隘,温柔 善解人意,暴脾气,男性,18,本科,3
242,2020/10/30 16:51:59,708秒,手机提交,直接访问,218.197.142.16(湖北-武汉),贺天宇,7非常典型,熊初墨,3有些不典型,萧炎,7非常典型,贺天晴,7非常典型,黄燕,4一般,欧阳飞燕,6比较典型,抽烟,5有些典型,2比较消极,泡网吧,6比较典型,1非常消极,打篮球,7非常典型,6比较积极,化妆,7非常典型,1非常消极,开美颜,7非常典型,1非常消极,购物,3有些不典型,4一般,从不放弃,脚踏两条船,展现真实的自我，不化妆不开美颜,绿茶,粗犷,7非常典型,4一般,大方,6比较典型,4一般,大大咧咧,5有些典型,4一般,文静,3有些不典型,4一般,柔弱,2比较不典型,3有些消极,绝情,1非常不典型,1非常消极,大方,犯贱,热心,粗犷,男性,18,本科,2
243,2020/10/30 16:52:00,728秒,手机提交,直接访问,183.95.248.132(湖北-武汉),乔振宇,6比较典型,张杰,7非常典型,蒋文轩,5有些典型,王丽娜,6比较典型,韦艳莉,5有些典型,李敏,5有些典型,刮胡子,6比较典型,5有些积极,留衣服不洗,6比较典型,1非常消极,喝酒,7非常典型,4一般,化妆打扮,6比较典型,5有些积极,花痴,6比较典型,6比较积极,八卦,7非常典型,4一般,尊重女性,猥琐粗鲁说脏话,温柔待人,不自爱,渣男,6比较典型,1非常消极,好运动,6比较典型,7非常积极,大男子主义,6比较典型,1非常消极,可爱,6比较典型,7非常积极,爱整洁,5有些典型,7非常积极,文艺,5有些典型,6比较积极,暖男,花心,开朗活泼,水性杨花,女性,18,本科,6
244,2020/10/30 16:52:00,756秒,手机提交,直接访问,223.104.20.79(湖北-武汉),王勇,7非常典型,李兵,7非常典型,韩建国,7非常典型,李娟,7非常典型,黎明,3有些不典型,黄康,3有些不典型,走路左摇右晃,6比较典型,4一般,当众说脏话,5有些典型,2比较消极,爱出风头,3有些不典型,4一般,爱美,5有些典型,4一般,运动少,3有些不典型,2比较消极,沉迷购物,5有些典型,2比较消极,展现体育或英语的才能,扭扭捏捏,懂礼貌,傲慢,好动,5有些典型,4一般,爱耍酷,5有些典型,4一般,打球,5有些典型,5有些积极,爱美,5有些典型,4一般,在外内敛,5有些典型,4一般,在外更注重礼仪,5有些典型,5有些积极,有特殊才能,扭捏,懂礼貌,傲慢,男性,18,本科,8
245,2020/10/30 16:52:04,740秒,手机提交,直接访问,171.82.99.102(湖北-武汉),黎鸿通,5有些典型,李华,7非常典型,黄柳华,5有些典型,波多野结衣,7非常典型,金星,7非常典型,伊丽莎白二世,7非常典型,口吐芬芳,6比较典型,2比较消极,沉迷二次元,4一般,6比较积极,lsp,6比较典型,4一般,化妆,7非常典型,5有些积极,追星,7非常典型,4一般,花痴,6比较典型,4一般,击剑,女装,化妆,追星,坚毅,6比较典型,6比较积极,向上,4一般,7非常积极,有担当,6比较典型,7非常积极,细腻,6比较典型,7非常积极,温柔,7非常典型,7非常积极,敏感,6比较典型,5有些积极,坚毅,软弱,温柔,易怒,男性,18,本科,1
246,2020/10/30 16:52:07,704秒,微信,N/A,218.197.142.4(湖北-武汉),川建国,6比较典型,王德发,4一般,上官鼎,5有些典型,斯卡蒂,6比较典型,陈珊妮,6比较典型,陈晖洁,7非常典型,打游戏,7非常典型,4一般,咬指甲,3有些不典型,3有些消极,喝酒,6比较典型,4一般,购物,7非常典型,4一般,化妆,7非常典型,6比较积极,减肥,5有些典型,4一般,打游戏,抽烟,化妆,购物,勇敢,4一般,7非常积极,能干,4一般,7非常积极,活跃,5有些典型,7非常积极,感性,5有些典型,6比较积极,绿茶,5有些典型,1非常消极,独立,2比较不典型,7非常积极,勇敢,怂,独立,绿茶,男性,17,本科,4
247,2020/10/30 16:52:09,628秒,手机提交,直接访问,183.92.251.246(湖北-武汉),马保国,7非常典型,张伟,7非常典型,王强,7非常典型,张思雨,7非常典型,陈玉,4一般,李佳,4一般,打篮球,7非常典型,7非常积极,打游戏,7非常典型,7非常积极,熬夜,7非常典型,7非常积极,化妆,7非常典型,7非常积极,染发,5有些典型,5有些积极,追星,7非常典型,7非常积极,打篮球,好色,化妆,阴阳怪气,多汗,7非常典型,6比较积极,马虎,7非常典型,6比较积极,大大咧咧,6比较典型,5有些积极,长发,7非常典型,7非常积极,偏瘦,6比较典型,6比较积极,精致,6比较典型,6比较积极,温柔,邋遢,温柔,粗鲁,男性,17,本科,9
248,2020/10/30 16:52:19,763秒,手机提交,直接访问,117.136.52.240(湖北-武汉),陈硕,4一般,张桐杨,4一般,王薪宇,7非常典型,赵艺玮,7非常典型,王梦茜,7非常典型,蒋雯欣,7非常典型,喝酒,5有些典型,5有些积极,TIMI积极,4一般,4一般,打篮球,5有些典型,6比较积极,撒娇,5有些典型,5有些积极,化妆,6比较典型,5有些积极,经常网购,6比较典型,6比较积极,狂欢,打架,跳舞,骂人,肌肉,5有些典型,5有些积极,火气旺,5有些典型,5有些积极,责任心,6比较典型,6比较积极,温柔,6比较典型,6比较积极,高雅,6比较典型,6比较积极,心思细腻,6比较典型,6比较积极,责任心,粗暴,心思细腻,抽烟,男性,18,本科,3
249,2020/10/30 16:52:19,739秒,手机提交,直接访问,223.104.20.224(湖北-武汉),周源,4一般,李兴国,6比较典型,程奥,3有些不典型,王书,5有些典型,李娟,7非常典型,李敏,6比较典型,抽烟,7非常典型,2比较消极,喝酒,7非常典型,4一般,打篮球,7非常典型,7非常积极,化妆,7非常典型,6比较积极,逛街,7非常典型,2比较消极,购物,7非常典型,4一般,打篮球,抽烟,适时，适度的化妆,逛街,外向,4一般,7非常积极,不爱逛街,7非常典型,7非常积极,粗糙,4一般,4一般,爱美,5有些典型,5有些积极,爱干净,4一般,6比较积极,敏感,4一般,4一般,外向,粗暴,爱干净,傲娇,男性,19,本科,7
250,2020/10/30 16:52:21,779秒,手机提交,直接访问,223.104.20.24(湖北-武汉),王大柱,7非常典型,李浩然,7非常典型,张鹏浩,7非常典型,李春花,6比较典型,谢思雅,7非常典型,杨莉安,7非常典型,喝酒,6比较典型,4一般,跑步,6比较典型,6比较积极,打篮球,7非常典型,7非常积极,化妆,7非常典型,7非常积极,吃美食,7非常典型,7非常积极,害羞,6比较典型,4一般,做啥事都认真,妄自尊大,卖萌,抽烟,大男子主义,6比较典型,4一般,胆子大,6比较典型,6比较积极,要担当,6比较典型,7非常积极,腼腆,6比较典型,6比较积极,拖拉,6比较典型,3有些消极,爱面子,6比较典型,6比较积极,胆子大,犹豫不决,腼腆,拖拉,男性,18,本科,5
251,2020/10/30 16:52:23,775秒,手机提交,直接访问,223.104.20.193(湖北-武汉),李锋泽,7非常典型,王晓辉,5有些典型,胡子瑞,5有些典型,姜颖,6比较典型,周莺蕊,7非常典型,李慧琳,6比较典型,打游戏,5有些典型,4一般,聚餐,6比较典型,6比较积极,打篮球,5有些典型,7非常积极,逛街,5有些典型,6比较积极,装饰房间,4一般,6比较积极,购买抱偶,4一般,5有些积极,乐于助人,背后诋毁他人,乐于助人,矫揉造作,高冷,5有些典型,4一般,热情,5有些典型,7非常积极,追求一种酷酷的感觉,6比较典型,5有些积极,温柔,6比较典型,7非常积极,可爱,6比较典型,6比较积极,小天真,5有些典型,7非常积极,热情,自私,热情,心机,男性,18,本科,5
252,2020/10/30 16:52:25,640秒,手机提交,直接访问,183.92.248.124(湖北-武汉),王国栋,7非常典型,李文革,7非常典型,赵文斌,6比较典型,张静,7非常典型,王馨怡,7非常典型,刘艳芳,7非常典型,抽烟喝酒,6比较典型,2比较消极,围观挖掘机,5有些典型,5有些积极,熬夜打游戏,6比较典型,2比较消极,聊八卦,6比较典型,3有些消极,化妆,7非常典型,5有些积极,买很多衣服,6比较典型,4一般,伸张正义,猥亵,关心,絮絮叨叨,冒险心理,6比较典型,6比较积极,不拘小节,5有些典型,4一般,喜欢娱乐,6比较典型,5有些积极,温柔,6比较典型,6比较积极,难以决断,5有些典型,3有些消极,爱美,6比较典型,6比较积极,勇敢,不爱卫生,温柔知性,尖刻,男性,18,本科,2
253,2020/10/30 16:52:27,765秒,手机提交,直接访问,117.136.81.157(湖北-武汉),王浩然,7非常典型,李国强,7非常典型,亓硕彦,5有些典型,蒋雯欣,5有些典型,黎晨冉,5有些典型,翟羽佳,7非常典型,打游戏,6比较典型,4一般,手冲,6比较典型,1非常消极,看动漫,5有些典型,5有些积极,化妆,7非常典型,3有些消极,花痴,6比较典型,4一般,八卦,7非常典型,4一般,温柔,抽烟,能体贴别人,太斤斤计较,重感情,6比较典型,6比较积极,直白,4一般,4一般,保护欲强,5有些典型,6比较积极,爱美,7非常典型,5有些积极,细心,5有些典型,7非常积极,花痴,7非常典型,4一般,温柔,脾气大,温柔,阴阳怪气,男性,18,本科,6
254,2020/10/30 16:52:28,732秒,手机提交,直接访问,119.103.136.108(湖北-武汉),宇豪,6比较典型,伟鹏,6比较典型,君泽,6比较典型,紫涵,7非常典型,嘉莹,6比较典型,靖雯,6比较典型,打篮球,7非常典型,6比较积极,pc主机游戏,7非常典型,7非常积极,骑单车,5有些典型,6比较积极,逛街,6比较典型,6比较积极,购物,6比较典型,6比较积极,化妆,7非常典型,6比较积极,玩乐器,打架,心思细腻,作,好奇心强,6比较典型,6比较积极,冲动,6比较典型,6比较积极,不拘小节,5有些典型,6比较积极,心思细腻,6比较典型,6比较积极,敏感,7非常典型,7非常积极,温柔,5有些典型,5有些积极,好奇心强,蛮横,温柔,自以为是,男性,18,本科,6
255,2020/10/30 16:52:31,707秒,手机提交,直接访问,218.197.142.18(湖北-武汉),王志强,7非常典型,李志伟,7非常典型,刘国强,7非常典型,李静婷,7非常典型,张雅宁,7非常典型,李玲,7非常典型,走路外八,6比较典型,5有些积极,打游戏,6比较典型,6比较积极,打球,6比较典型,6比较积极,喝奶茶,7非常典型,7非常积极,吃蛋糕,6比较典型,6比较积极,购物,6比较典型,6比较积极,大方,自私,大方,无理取闹,喜欢狗和猫,6比较典型,6比较积极,沙雕,5有些典型,5有些积极,声大,4一般,4一般,害羞,6比较典型,6比较积极,沙雕,4一般,4一般,喜欢猫,6比较典型,6比较积极,细心,虎了吧唧,细心,虎了吧唧,男性,18,本科,6
256,2020/10/30 16:52:33,795秒,手机提交,直接访问,218.197.142.11(湖北-武汉),王铁蛋,6比较典型,王建国,6比较典型,马成功,4一般,张婷婷,7非常典型,杨雅琴,6比较典型,程梦宣,6比较典型,抽烟,6比较典型,2比较消极,打游戏,6比较典型,6比较积极,打篮球,6比较典型,7非常积极,喝奶茶,6比较典型,6比较积极,吃蛋糕,6比较典型,7非常积极,化妆,7非常典型,7非常积极,打篮球,智障,可爱,自私,喜欢猫和狗,6比较典型,6比较积极,沙雕,6比较典型,6比较积极,直白,6比较典型,4一般,害羞,6比较典型,6比较积极,沙雕,6比较典型,6比较积极,喜欢小动物,6比较典型,6比较积极,细心,海王,可爱,小气,女性,17,本科,6
257,2020/10/30 16:52:33,655秒,手机提交,直接访问,218.197.142.8(湖北-武汉),张伟,6比较典型,胡歌,5有些典型,曾波,6比较典型,张芳,7非常典型,李娜,7非常典型,张然,5有些典型,大大咧咧,6比较典型,4一般,力气大,6比较典型,6比较积极,不爱干净,4一般,3有些消极,爱逛街,6比较典型,3有些消极,爱打扮,5有些典型,4一般,胆小,3有些不典型,3有些消极,有保护他人的欲望 担当自己应负的责任,邋遢 大男子主义,做事有个度（比如化妆撒娇）,做作,有责任感,4一般,7非常积极,大大咧咧,5有些典型,3有些消极,不修边幅,4一般,3有些消极,注意形象,5有些典型,4一般,胆小,5有些典型,3有些消极,爱逛街,4一般,2比较消极,有教养,邋遢,体贴,做作,男性,18,本科,6
258,2020/10/30 16:52:35,787秒,手机提交,直接访问,117.136.52.165(湖北-武汉),王天龙,7非常典型,程锐,5有些典型,孙灯勇,6比较典型,张然,5有些典型,杨月星,6比较典型,张玉,5有些典型,抽烟,6比较典型,4一般,喝酒,5有些典型,4一般,赌博,6比较典型,1非常消极,撒娇,6比较典型,4一般,表里不一,6比较典型,1非常消极,渣,4一般,1非常消极,绅士,赌博,恪守妇道,表里不一,身强体壮,6比较典型,6比较积极,有胡子,6比较典型,4一般,大度,4一般,2比较消极,公主病,6比较典型,1非常消极,矫情,6比较典型,1非常消极,造作,6比较典型,1非常消极,绅士,脏,自尊,矫情,男性,18,本科,1
259,2020/10/30 16:52:36,797秒,手机提交,直接访问,218.197.142.9(湖北-武汉),杨帆,7非常典型,吴凡,7非常典型,吴京,5有些典型,王静,7非常典型,汪雨菡,7非常典型,汪毅,3有些不典型,打篮球,7非常典型,7非常积极,刮胡子,7非常典型,5有些积极,熬夜打游戏,6比较典型,1非常消极,花痴,7非常典型,7非常积极,花很长时间在心里想事情,7非常典型,3有些消极,八卦,7非常典型,6比较积极,绅士,抽烟 说脏话,一起八卦,背地说坏话,心思不细腻,6比较典型,3有些消极,照顾同行女生,6比较典型,6比较积极,大男子主义,6比较典型,5有些积极,情绪波动大,7非常典型,3有些消极,心思细腻,7非常典型,5有些积极,情绪调整快,5有些典型,7非常积极,温柔,直男,细腻,讲暗话,女性,18,本科,8
260,2020/10/30 16:52:38,253秒,手机提交,直接访问,119.103.31.22(湖北-武汉),张伟,6比较典型,安鑫,6比较典型,汪超迅,6比较典型,张然,6比较典型,李翠花,6比较典型,王二妞,6比较典型,抽烟,6比较典型,6比较积极,喝酒,6比较典型,6比较积极,烫头,6比较典型,6比较积极,撩头发,6比较典型,6比较积极,拍短视频,6比较典型,6比较积极,化妆,6比较典型,6比较积极,微笑,自以为是,微笑,自以为是,胡子,6比较典型,6比较积极,男权主义,6比较典型,6比较积极,短头发,6比较典型,6比较积极,长头发,6比较典型,6比较积极,口红,6比较典型,6比较积极,胸部,6比较典型,6比较积极,帅气,自以为是,笑,做作,男性,19,本科,10
261,2020/10/30 16:52:43,777秒,手机提交,直接访问,223.104.20.70(湖北-武汉),张杰,7非常典型,李腾龙,6比较典型,刘龙,6比较典型,张雅,6比较典型,李梦瑶,7非常典型,张静,6比较典型,打联盟,7非常典型,6比较积极,看动漫,5有些典型,7非常积极,搞基,6比较典型,4一般,手牵手过马路,6比较典型,3有些消极,化妆,7非常典型,6比较积极,玩玩偶,6比较典型,6比较积极,阴阳怪气,蛮横,化妆打扮,不修边幅,高,6比较典型,7非常积极,帅,6比较典型,7非常积极,有魅力,6比较典型,7非常积极,白,1非常不典型,7非常积极,美,4一般,7非常积极,可爱,4一般,6比较积极,秀气,壮,漂亮,肥胖,男性,20,本科,3
262,2020/10/30 16:52:52,807秒,手机提交,直接访问,218.197.142.12(湖北-武汉),董翰林,7非常典型,张伟,7非常典型,孔浩然,6比较典型,杨思雨,7非常典型,王雪莹,6比较典型,袁舒淇,6比较典型,骑摩托,6比较典型,6比较积极,打架,7非常典型,1非常消极,抽烟,7非常典型,1非常消极,化妆,7非常典型,5有些积极,逛街,7非常典型,4一般,照镜子,6比较典型,4一般,健身,抽烟,化妆,无理取闹,好面子,7非常典型,6比较积极,勇敢,5有些典型,7非常积极,懒,7非常典型,1非常消极,温柔,6比较典型,7非常积极,不讲道理,7非常典型,3有些消极,体贴,6比较典型,7非常积极,勇敢,娘,温柔,不讲道理,男性,18,本科,6
263,2020/10/30 16:52:56,753秒,手机提交,直接访问,218.197.142.5(湖北-武汉),魏征,4一般,李军,4一般,瓦力,6比较典型,王舒雅,5有些典型,陈婉婷,5有些典型,彭丽媛,5有些典型,和女的上床,7非常典型,7非常积极,跑步,4一般,4一般,玩手机,1非常不典型,4一般,和男的上床,7非常典型,7非常积极,梳头,5有些典型,6比较积极,化妆,6比较典型,2比较消极,帮助女生,同性恋,温柔,还真不知道,能吃,4一般,5有些积极,锻炼,3有些不典型,6比较积极,打架,3有些不典型,4一般,计较,3有些不典型,2比较消极,温柔,3有些不典型,6比较积极,爱打扮,4一般,5有些积极,大方,欺负人,善良,斤斤计较,男性,18,本科,4
